#, TP, FP, FN, LesionNum
1, 0, 154, 0, 0
2, 4, 180, 0, 1
3, 2, 207, 1, 3
4, 5, 423, 1, 4
5, 0, 346, 0, 0
6, 0, 230, 2, 2
7, 2, 193, 3, 4
8, 10, 224, 1, 7
9, 0, 453, 1, 1
10, 2, 174, 0, 1
11, 12, 242, 0, 4
12, 8, 184, 0, 3
13, 1, 304, 2, 3
14, 0, 124, 0, 0
15, 0, 144, 0, 0
16, 6, 160, 2, 4
17, 12, 100, 2, 7
18, 0, 428, 0, 0
19, 1, 182, 0, 1
20, 3, 217, 2, 4
21, 2, 244, 1, 2
22, 0, 125, 0, 0
23, 1, 317, 0, 1
24, 0, 106, 0, 0
25, 1, 247, 2, 3
26, 1, 479, 1, 2
27, 10, 107, 1, 8
28, 1, 192, 0, 1
29, 8, 374, 1, 3
30, 15, 277, 5, 11
31, 8, 150, 1, 5
32, 0, 90, 0, 0
33, 10, 372, 4, 13
34, 0, 299, 1, 1
35, 3, 143, 1, 3
36, 3, 183, 0, 1
37, 0, 298, 1, 1
38, 3, 158, 1, 3
39, 4, 51, 0, 1
40, 2, 500, 0, 1
41, 5, 226, 2, 4
42, 3, 304, 2, 4
43, 0, 187, 0, 0
44, 3, 192, 1, 3
45, 0, 120, 0, 0
46, 2, 241, 1, 2
47, 1, 342, 2, 3
48, 0, 129, 0, 0
49, 0, 120, 0, 0
50, 0, 81, 1, 1
56, 0, 193, 2, 2
57, 1, 584, 0, 1
58, 0, 435, 0, 0
59, 3, 248, 1, 3
60, 2, 157, 0, 2
61, 0, 297, 1, 1
62, 1, 168, 0, 1
63, 2, 158, 0, 1
64, 11, 177, 5, 10
65, 2, 236, 0, 1
66, 1, 211, 3, 4
67, 0, 266, 0, 0
68, 1, 201, 0, 1
69, 0, 126, 0, 0
70, 1, 249, 4, 5
71, 2, 206, 1, 2
72, 3, 165, 1, 2
73, 0, 159, 4, 4
74, 0, 283, 1, 1
75, 0, 167, 0, 0
76, 1, 69, 1, 2
77, 3, 463, 1, 2
78, 3, 81, 1, 3
79, 2, 146, 0, 1
80, 0, 83, 0, 0
81, 1, 188, 0, 1
82, 2, 533, 0, 1
83, 3, 165, 1, 3
84, 4, 142, 2, 4
85, 0, 152, 0, 0
86, 2, 529, 0, 1
87, 0, 216, 0, 0
88, 2, 152, 0, 1
89, 1, 138, 0, 1
90, 1, 130, 0, 1
91, 12, 143, 4, 11
92, 6, 120, 3, 7
93, 1, 169, 2, 3
94, 2, 334, 0, 1
95, 1, 87, 0, 1
96, 5, 144, 3, 6
97, 0, 430, 3, 3
98, 4, 128, 0, 3
99, 2, 220, 5, 7
100, 0, 74, 0, 0
101, 0, 135, 0, 0
102, 0, 155, 0, 0
103, 1, 151, 0, 1
104, 0, 225, 0, 0
105, 2, 65, 4, 6
106, 1, 352, 0, 1
107, 0, 265, 0, 0
108, 0, 276, 1, 1
109, 2, 132, 0, 1
110, 1, 136, 2, 3
111, 1, 167, 0, 1
112, 0, 305, 1, 1
113, 0, 66, 0, 0
114, 0, 132, 0, 0
115, 1, 120, 2, 3
116, 0, 111, 0, 0
117, 3, 77, 0, 1
118, 0, 110, 0, 0
119, 2, 382, 0, 1
120, 0, 145, 0, 0
121, 1, 130, 1, 2
122, 3, 213, 1, 3
123, 1, 116, 0, 1
124, 0, 279, 0, 0
125, 0, 60, 1, 1
126, 0, 97, 0, 0
127, 0, 142, 0, 0
128, 0, 68, 0, 0
129, 1, 97, 0, 1
130, 0, 127, 1, 1
131, 9, 28, 0, 4
132, 1, 250, 2, 3
133, 0, 278, 1, 1
134, 0, 98, 1, 1
135, 1, 58, 1, 2
136, 1, 84, 0, 1
137, 1, 171, 2, 3
138, 6, 169, 0, 2
139, 3, 134, 1, 3
140, 0, 87, 0, 0
141, 3, 74, 0, 2
142, 0, 437, 0, 0
143, 0, 103, 0, 0
144, 0, 197, 1, 1
145, 2, 212, 0, 1
146, 1, 126, 0, 1
147, 0, 55, 1, 1
148, 0, 54, 1, 1
149, 1, 174, 1, 2
150, 1, 233, 0, 1
151, 0, 426, 0, 0
152, 0, 321, 0, 0
153, 1, 154, 2, 3
154, 1, 129, 1, 2
155, 0, 120, 2, 2
156, 0, 171, 0, 0
157, 4, 209, 0, 2
158, 0, 161, 1, 1
159, 5, 323, 1, 2
160, 0, 490, 0, 0
161, 0, 97, 1, 1
162, 0, 94, 0, 0
163, 0, 178, 1, 1
164, 0, 103, 0, 0
165, 0, 238, 0, 0
166, 0, 50, 1, 1
167, 0, 70, 1, 1
168, 2, 233, 1, 2
169, 3, 97, 0, 1
173, 0, 108, 0, 0
174, 1, 113, 0, 1
175, 2, 112, 0, 2
176, 0, 183, 0, 0
177, 1, 91, 2, 3
183, 0, 194, 0, 0
184, 0, 192, 0, 0
185, 0, 193, 0, 0
186, 1, 111, 0, 1
187, 0, 348, 0, 0
188, 8, 892, 1, 4
189, 0, 155, 0, 0
190, 0, 125, 0, 0
191, 0, 161, 0, 0
192, 0, 179, 0, 0
193, 0, 238, 0, 0
194, 3, 531, 1, 2
195, 0, 328, 0, 0
196, 0, 154, 0, 0
197, 0, 154, 0, 0
198, 0, 141, 0, 0
199, 0, 157, 0, 0
200, 0, 227, 0, 0
201, 0, 337, 0, 0
202, 5, 157, 0, 2
